num,match
1030,"<lb-component v-bind=""component_props"" v-on:hide_user=""hide_user"" v-on:show_user=""show_user"" v-on:load_profile_user=""load_profile_user"">"
1019,"<inventory-widget base-filter="""" rescan-on-event=""shown.bs.tab"" selector="" inventory-widget .active [{filterAttribute}]"">"
693,"<logo-svg height=""20"" width=""120"">"
369,"<tws-article-social class=\""tws-article-social\"" article-uid=\""articleUid\"">"
257,"<amp-analytics type=""googleanalytics"">"
244,"<custom-theme-component :shop=""shop"">"
217,"<tn-image-picker src=""selfService.siteLogo"">"
186,"<ts-icon class=""ts_icon ts_icon_times"">"
181,"<ns-header-category-menu ng-show=""HeaderCategoryMenuCtrl.IsOpendMenu===true""
                                ns-shop-category-list-info=""HeaderCategoryMenuCtrl.ShopCategoryListInfo""
                                ns-free-gift-list=""HeaderCategoryMenuCtrl.FreeGiftList"">"
158,"<pixel-hook style=""display:none;"">"
156,"<anti-forgery-token token=""model.antiForgery"">"
142,"<product-view view=""index"">"
139,"<dfp-ad class=""mx-auto py-3 text-center ad-high"" ad-unit=""/154566981/SportsHub2-Local/Title"" >"
137,"<vid-tracking-pixel vid-data=""vidData"">"
134,"<modal-normal v-if=""type === 'normal'"" :data=""data"" :options=""options"" :classes=""css_classes"">"
131,<buzz-login ng-if=Theme.isLoaded>
124,"<amp-sidebar id=""resmenu"" layout=""nodisplay"" side=""right"">"
122,"<li-icon type=""cancel-icon"" size=""small"" a11y-text=""Dismiss"">"
117,<rv-user-dropdown current_user='ctrl.currentUser'>
108,"<amp-analytics type=""gtag"" data-credentials=""include"">"
93,"<inventory-widget base-filter=""Make=DealerMake or Type='U'"" rescan-on-event=""shown.bs.tab"" selector="" inventory-widget .active [{filterAttribute}]"">"
93,"<gf-header class=""Masthead"" onclick="""">"
92,"<video-placeholder @play-image-click=""playImageClick"">"
92,"<front-admin-panel subject-type=""menu"" subject-id=""3"">"
91,"<sb-block id=""top-panel-block-1"" class=""isHidden"">"
88,<amp-analytics id='analytics1' type='googleanalytics'>
85,"<md-toolbar layout-gt-sm=""row"" class=""md-toolbar-tools"">"
84,"<chat-counter inline-template
                          v-cloak>"
83,"<inventory-widget base-filter=""Make=DealerMake"" rescan-on-event=""shown.bs.tab"" selector="" inventory-widget .active [{filterAttribute}]"">"
82,"<amp-analytics type=""alexametrics"">"
81,"<sj-account-menu type=""pc"">"
78,"<lk-panel name=""Для физических лиц"">"
68,"<md-input-container class=""md-block"" flex-gt-sm="""">"
68,"<driver-list drivers-collection=""root.curParams.drivers"" ng-if=""root.curParams.drivers.length >"
65,"<lb-component is_lnwpay_bar=""1"" lnwpoint_data="""" v-bind=""component_props"" v-on:hide_user=""hide_user"" v-on:show_user=""show_user"" v-on:load_profile_user=""load_profile_user"">"
63,"<header-login show-easy-login=""show-easy-login"">"
60,"<pw-loading-button type='submit'
                                                       id=""submit""
                                                       form=""authenticate""
                                                       disabled-loading=""loggingIn""
                                                       class=""btn-primary btn-lg btn-block text-center""
                                                       default-text=""Sign In""
                                                       action=""authenticate()""
                                                       processing-text=""Signing In"">"
60,"<md-icon class=""exclamation-mark generic-hide-in-mobile"" md-svg-src=""https://ssl.gstatic.com/trends_nrtr/1709_RC01/ic_exclamation_mark_24px.svg"">"
59,"<meso-native-marquee fallbackimage=""https://images.trvl-media.com/media/content/expus/graphics/launch/home/default_desktop_expedia.jpg"" slot=""NM"">"
58,"<md-progress-circular md-mode=""indeterminate"" md-diameter=""84"">"
56,"<navbar-top ng-if=""loggedInTemplates(true)"">"
54,"<dfp-ad class=""mx-auto py-3 text-center ad-high"" ad-unit=""/154566981/SportsHub2-Local/Title"" refresh=""10000"">"
54,"<ng-include src=""adminTemplate"">"
54,"<amp-analytics type=""googleanalytics"" id=""analytics1"">"
52,"<ng-view autoscroll=""true"">"
52,"<emb-rampup exec=""eMB.retail.publish.component.module.Carrousel.bootstrap"">"
52,"<messaging-sms-form sidebar=""true"">"
52,<makalu-app id=app>
51,"<ark-main-block class=""arena-tr clearfix"">"
51,"<amp-analytics id=""analytics_liveinternet"">"
49,<svg-spritesheet href='/Styles/Core/Icons/Spritesheet.svg'>
48,"<inventory-widget base-filter=""Make='Toyota' or Make='Scion' or Type='U'"" rescan-on-event=""shown.bs.tab"" selector="" inventory-widget .active [{filterAttribute}]"">"
48,"<confirm-email v-if=""active == 'confirm-email'"" :user=""confirmUser"">"
47,"<ev-profile profile=""userProfile"">"
47,"<svg-image src=""images/gift_icon.svg"" class=""envolpe"">"
46,"<cookie-notification class=""section-font-color"">"
44,"<app-root _nghost-c0="""" ng-version=""5.2.11"">"
43,<gl-search :collapsed='true' param='q' action='/rus/index.htm/gsearch' placeholder='Поиск по сайту'>
43,"<cat-brand-page-loader cat-store=""Head"">"
42,"<inventory-widget class=""form-horizontal"" base-filter="""" id=""inventorySearchWidget"">"
41,"<form-autocomplete
                            :items=""autocomplete.tripModels['from_' + $index + '_label']""
                            :id=""'tripModels.from_' + $index + '_label'""
                            v-on:autocomplete-set=""autocompleteSet""
                        >"
40,"<webapp-compat-tracking class=""WebappCompatPlaceholder"">"
40,"<ekm-section data-id=""ekm-section-id-0"" data-type=""hero-banner"">"
40,"<app-root _nghost-sc0="""" ng-version=""6.1.10"">"
39,"<renewal-setting-menu user=""currentUser"">"
38,"<voya-indicator id=""myvoya-sso-ui-indicator"" active class=""voya-indicator--active voya-indicator--fixed"">"
38,"<ks-swiper-container override-parameters=""{scrollbar: '.swiper-scrollbar', scrollbarHide: true, slidesPerView: 'auto', centeredSlides: false, spaceBetween: 0, grabCursor: true, onInit:toggleData}"" class=""swiper-wrapper ng-cloak"">"
38,"<inventory-widget class=""form-horizontal hidden-xs hidden-sm"" base-filter="""" id=""inventorySearchWidget"">"
37,"<scope-init property=""monetateMethods"" value=""[{&quot;method&quot;:&quot;setPageType&quot;,&quot;data&quot;:&quot;home&quot;},{&quot;method&quot;:&quot;trackData&quot;,&quot;data&quot;:null}]"">"
37,"<system-region name=""DEFAULT"">"
36,"<product-view-marker data-is-mobile=""True"">"
33,<app-header inline-template>
32,"<ui-view name=""app"">"
32,"<gwd-genericad id=""gwd-ad"">"
32,"<ms-splash-screen id=""splash-screen"">"
32,"<ld-json class=""hide"">"
32,"<dynamic-form type=""Popup"" form-id='GeneralFormId' is-popup=""true"">"
31,"<notifications-bar class=""notifications"">"
31,"<amp-sidebar id=""sidebar"" layout=""nodisplay"" side=""left"">"
31,"<urbaneats-driver-list drivers-collection=""root.curParams.drivers"" ng-if=""root.curParams.drivers.length >"
31,"<yt-formatted-string class=""style-scope ytd-video-primary-info-renderer"" style=""--yt-endpoint-color: hsl(206.1, 79.3%, 52.7%);"">"
